fecha,referencia,concepto,importe
2024-03-01,TXN-1000,Servicios IT,19039.74
2024-03-02,TXN-1001,Proveedor A,47560.36
2024-03-03,TXN-1002,Nómina,36733.7
2024-03-04,TXN-1003,Nómina,30133.59
2024-03-05,TXN-1004,Servicios IT,8222.92
2024-03-06,TXN-1005,Servicios IT,8321.73
2024-03-07,TXN-1006,Seguros,3375.14
2024-03-08,TXN-1007,Proveedor A,43375.72
2024-03-09,TXN-1008,Alquiler,30255.19
2024-03-10,TXN-1009,Proveedor A,35549.59
2024-03-11,TXN-1010,Nómina,1518.93
2024-03-12,TXN-1011,Alquiler,48510.54
2024-03-13,TXN-1011,Proveedor A,41705.91
2024-03-14,TXN-1013,Proveedor A,11010.79
2024-03-15,TXN-1014,Servicios IT,9500.34
2024-03-16,TXN-1015,Alquiler,9578.52
2024-03-17,TXN-1016,Nómina,15559.99
2024-03-18,TXN-1017,Alquiler,26475.44
2024-03-19,TXN-1018,Seguros,21881.28
2024-03-20,TXN-1019,Proveedor A,14915.84
2024-03-21,TXN-1020,Seguros,30786.72
2024-03-22,TXN-1021,Servicios IT,7404.95
2024-03-23,TXN-1022,Nómina,14961.16
2024-03-24,TXN-1023,Proveedor A,18534.91
2024-03-25,TXN-1024,Seguros,23075.46
2024-03-26,TXN-1025,Nómina,39366.21
2024-03-27,TXN-1026,Proveedor A,10383.85
2024-03-28,TXN-1027,Proveedor A,25954.6
2024-03-29,TXN-1028,Seguros,29824.52
2024-03-30,TXN-1029,Servicios IT,2799.3
2024-03-31,TXN-1030,Seguros,30573.47
2024-03-02,TXN-1031,Servicios IT,8940.94
2024-03-02,TXN-1032,Alquiler,3720.05
2024-03-03,TXN-1033,Seguros,47469.83
2024-03-04,TXN-1034,Nómina,48298.79
2024-03-05,TXN-1035,Alquiler,40515.67
2024-03-06,TXN-1036,Seguros,15578.38
2024-03-07,TXN-1037,Servicios IT,5334.77
2024-03-08,TXN-1038,Seguros,34369.53
2024-03-09,TXN-1039,Alquiler,22287.55
2024-03-10,TXN-1040,Servicios IT,6540.89
2024-03-11,TXN-1041,Proveedor A,25011.26
2024-03-12,TXN-1042,Nómina,2202.23
2024-03-13,TXN-1043,Nómina,45511.36
2024-03-14,TXN-1044,Proveedor A,13309.61
2024-03-15,TXN-1045,Nómina,33294.85
2024-03-16,TXN-1046,Proveedor A,15929.7
2024-03-17,TXN-1047,Nómina,26143.37
2024-03-18,TXN-1048,Servicios IT,27562.16
2024-03-19,TXN-1049,Nómina,9650.3
2024-03-20,TXN-1050,Nómina,48494.44
2024-03-21,TXN-1051,Nómina,38869.07
2024-03-22,TXN-1052,Nómina,47005.2
2024-03-23,TXN-1053,Seguros,44793.95
2024-03-24,TXN-1054,Servicios IT,30096.05
2024-03-25,TXN-1055,Servicios IT,46132.77
2024-03-26,TXN-1056,Proveedor A,4880.38
2024-03-27,TXN-1057,Servicios IT,10201.15
2024-03-28,TXN-1058,Proveedor A,2738.75
2024-03-29,TXN-1059,Nómina,16603.85
2024-03-30,TXN-1060,Seguros,19739.53
2024-03-31,TXN-1061,Servicios IT,13931.78
2024-03-01,TXN-1062,Alquiler,41522.51
2024-03-02,TXN-1063,Servicios IT,18159.29
2024-03-03,TXN-1064,Seguros,14406.26
2024-03-04,TXN-1065,Servicios IT,27363.46
2024-03-05,TXN-1066,Nómina,7475.75
2024-03-06,TXN-1067,Proveedor A,40208.75
2024-03-07,TXN-1068,Nómina,4190.26
2024-03-08,TXN-1069,Nómina,49350.9
2024-03-09,TXN-1070,Nómina,38726.12
2024-03-10,TXN-1071,Seguros,10336.43
2024-03-11,TXN-1072,Seguros,773.34
2024-03-12,TXN-1073,Nómina,40865.34
2024-03-13,TXN-1074,Servicios IT,35489.44
2024-03-14,TXN-1075,Nómina,36585.85
2024-03-15,TXN-1076,Seguros,38677.88
2024-03-16,TXN-1077,Alquiler,4165.21
2024-03-17,TXN-1078,Nómina,18244.05
2024-03-18,TXN-1079,Nómina,6235.52
2024-03-15,TXN-9999,Ajuste manual,1250.0
